name,title,company,email,phone,person_location,company_hq,recent_publication,publication_year,funding_stage,uses_3d_models,in_biotech_hub
Dr. Sarah Chen,Director of Toxicology,Moderna,sarah.chen@modernatx.com,617-555-0123,Remote - Colorado,Cambridge MA,Drug-Induced Liver Injury using 3D Hepatocytes,2024,Public,Yes,Yes
Dr. John Smith,Head of Preclinical Safety,Pfizer,j.smith@pfizer.com,,New York NY,New York NY,3D Cell Models for Safety Assessment,2023,Public,Yes,Yes
Dr. Maria Garcia,VP Safety Assessment,Genentech,,,San Francisco CA,San Francisco CA,,,Public,Yes,Yes
Dr. James Wilson,Senior Toxicologist,Novartis,j.wilson@novartis.com,862-555-0456,Remote - Florida,Cambridge MA,,,Public,No,Yes
Dr. Emily Brown,Principal Scientist - Hepatic Models,AstraZeneca,emily.brown@astrazeneca.com,302-555-0789,Wilmington DE,Wilmington DE,Hepatic Spheroids for DILI Prediction,2024,Public,Yes,No
Dr. Michael Rodriguez,Director of Drug Safety,Bristol Myers Squibb,,,Princeton NJ,New York NY,,,Public,,Yes
Dr. Lisa Anderson,Head of DMPK and Toxicology,Gilead Sciences,l.anderson@gilead.com,650-555-0234,Foster City CA,Foster City CA,,,Public,Yes,Yes
Dr. Robert Taylor,Associate Director - Safety Sciences,Merck,robert.taylor@merck.com,,Rahway NJ,Rahway NJ,,,Public,Yes,Yes
Dr. Jennifer Martinez,Senior Director Toxicology,Amgen,j.martinez@amgen.com,805-555-0567,Remote - Texas,Thousand Oaks CA,Organ-on-Chip Technology for Toxicology,2024,Public,Yes,Yes
Dr. David Lee,VP Preclinical Development,Regeneron,,,Tarrytown NY,Tarrytown NY,,,Public,,Yes
Dr. Patricia White,Principal Scientist - In Vitro Models,Vertex Pharmaceuticals,p.white@vrtx.com,617-555-0890,Boston MA,Boston MA,3D Liver Models for Drug Screening,2023,Public,Yes,Yes
Dr. Christopher Harris,Director of Investigative Toxicology,Biogen,,,Cambridge MA,Cambridge MA,,,Public,Yes,Yes
Dr. Amanda Clark,Head of Safety Pharmacology,Takeda,a.clark@takeda.com,617-555-0345,Cambridge MA,Cambridge MA,,,Public,No,Yes
Dr. Daniel Lewis,Senior Toxicologist,Eli Lilly,d.lewis@lilly.com,,Indianapolis IN,Indianapolis IN,,,Public,Yes,No
Dr. Michelle Walker,Director of Preclinical Safety,Sanofi,m.walker@sanofi.com,908-555-0678,Remote - Georgia,Bridgewater NJ,Hepatotoxicity Assessment using NAMs,2024,Public,Yes,Yes
Dr. Kevin Hall,VP Drug Safety Evaluation,Johnson & Johnson,,,New Brunswick NJ,New Brunswick NJ,,,Public,,Yes
