name,title,company,source
Dr.Sarah Chen,Director of Toxicology,Moderna,LinkedIn
Dr.John Smith,Head of Preclinical Safety,Pfizer,PubMed
Dr.Maria Garcia,VP Safety Assessment,Genentech,Conference-SOT
Dr.James Wilson,Senior Toxicologist,Novartis,LinkedIn
Dr.Emily Brown,Principal Scientist - Hepatic Models,AstraZeneca,PubMed
Dr.Michael Rodriguez,Director of Drug Safety,Bristol Myers Squibb,LinkedIn
Dr.Lisa Anderson,Head of DMPK and Toxicology,Gilead Sciences,Conference-AACR
Dr.Robert Taylor,Associate Director - Safety Sciences,Merck,LinkedIn
Dr.Jennifer Martinez,Senior Director Toxicology,Amgen,PubMed
Dr.David Lee,VP Preclinical Development,Regeneron,LinkedIn
Dr.Patricia White,Principal Scientist - In Vitro Models,Vertex Pharmaceuticals,Conference-SOT
Dr.Christopher Harris,Director of Investigative Toxicology,Biogen,PubMed
Dr.Amanda Clark,Head of Safety Pharmacology,Takeda,LinkedIn
Dr.Daniel Lewis,Senior Toxicologist,Eli Lilly,LinkedIn
Dr.Michelle Walker,Director of Preclinical Safety,Sanofi,PubMed
Dr.Kevin Hall,VP Drug Safety Evaluation,Johnson & Johnson,Conference-ISSX
Dr.Laura Allen,Associate Director - Hepatotoxicity,Roche,LinkedIn
Dr.Steven Young,Principal Scientist - 3D Cell Culture,Bayer,PubMed
Dr.Karen King,Director of ADME/Tox,AbbVie,LinkedIn
Dr.Brian Wright,Head of Safety Assessment,Celgene,Conference-SOT
Dr.Jessica Scott,Senior Director - Toxicology,Alexion,LinkedIn
Dr.Thomas Green,Director of In Vitro Toxicology,Incyte,PubMed
Dr.Nicole Adams,VP Safety Sciences,Alnylam,LinkedIn
Dr.Ryan Baker,Principal Toxicologist,Biohaven,Conference-AACR
Dr.Stephanie Nelson,Director of Drug Safety,Kite Pharma,LinkedIn
Dr.Eric Carter,Head of Preclinical Research,Bluebird Bio,PubMed
Dr.Rachel Mitchell,Senior Scientist - Liver Models,Editas Medicine,LinkedIn
Dr.Jason Perez,Director of Safety Pharmacology,Intellia Therapeutics,Conference-SOT
Dr.Ashley Roberts,VP Toxicology and DMPK,Spark Therapeutics,LinkedIn
Dr.Matthew Turner,Principal Investigator - Hepatic Safety,CRISPR Therapeutics,PubMed
Dr.Samantha Phillips,Director of Preclinical Safety,Beam Therapeutics,LinkedIn
Dr.Brandon Campbell,Head of In Vitro Toxicology,Verve Therapeutics,Conference-ISSX
Dr.Rebecca Parker,Senior Director - Drug Safety,Prime Medicine,LinkedIn
Dr.Justin Evans,Director of Safety Assessment,Mammoth Biosciences,PubMed
Dr.Melissa Edwards,VP Preclinical Development,Caribou Biosciences,LinkedIn
Dr.Andrew Collins,Principal Scientist - 3D Models,Graphite Bio,Conference-SOT
Dr.Christina Stewart,Director of Investigative Toxicology,Metagenomi,LinkedIn
Dr.Joshua Sanchez,Head of Safety Pharmacology,Poseida Therapeutics,PubMed
Dr.Angela Morris,Senior Toxicologist,Sana Biotechnology,LinkedIn
Dr.Tyler Rogers,Director of Drug Safety Evaluation,Arsenal Biosciences,Conference-AACR
Dr.Brittany Reed,VP Safety Sciences,Umoja Biopharma,LinkedIn
Dr.Jordan Cook,Principal Scientist - Hepatotoxicity,Century Therapeutics,PubMed
Dr.Taylor Morgan,Director of Preclinical Safety,Allogene Therapeutics,LinkedIn
Dr.Alexandra Bell,Head of ADME/Tox,Lyell Immunopharma,Conference-SOT
Dr.Nathan Murphy,Senior Director - In Vitro Models,Vor Biopharma,LinkedIn
Dr.Victoria Bailey,Director of Safety Assessment,Precision BioSciences,PubMed
Dr.Dylan Rivera,VP Toxicology,TCR2 Therapeutics,LinkedIn
Dr.Gabriella Cooper,Principal Toxicologist,Adaptimmune,Conference-ISSX
Dr.Zachary Richardson,Director of Drug Safety,Fate Therapeutics,LinkedIn
Dr.Isabella Cox,Head of Preclinical Research,Atara Biotherapeutics,PubMed
Dr.Ethan Howard,Senior Scientist - 3D Cell Culture,Arcellx,LinkedIn
Dr.Olivia Ward,Director of Safety Pharmacology,Mustang Bio,Conference-SOT
Dr.Aaron Torres,VP Safety Sciences,Ziopharm Oncology,LinkedIn
Dr.Madison Peterson,Principal Investigator - Liver Toxicity,Achilles Therapeutics,PubMed
Dr.Gabriel Gray,Director of Investigative Toxicology,Adaptive Biotechnologies,LinkedIn
Dr.Sophia Ramirez,Head of In Vitro Toxicology,Apexigen,Conference-AACR
Dr.Caleb James,Senior Director - Drug Safety,Astellas Pharma,LinkedIn
Dr.Natalie Watson,Director of Preclinical Safety,Daiichi Sankyo,PubMed
Dr.Ian Brooks,VP ADME/Tox,Eisai,LinkedIn
Dr.Megan Kelly,Principal Scientist - Hepatic Models,Sumitomo Pharma,Conference-SOT
Dr.Lucas Sanders,Director of Safety Assessment,Otsuka Pharmaceutical,LinkedIn
Dr.Chloe Price,Head of Safety Pharmacology,Shionogi,PubMed
Dr.Connor Bennett,Senior Toxicologist,Chugai Pharmaceutical,LinkedIn
Dr.Grace Wood,Director of Drug Safety Evaluation,UCB Pharma,Conference-ISSX
Dr.Owen Barnes,VP Preclinical Development,Ipsen,LinkedIn
Dr.Lily Ross,Principal Scientist - 3D Models,Servier,PubMed
Dr.Hunter Henderson,Director of Investigative Toxicology,Pierre Fabre,LinkedIn
Dr.Avery Coleman,Head of In Vitro Toxicology,Recordati,Conference-SOT
Dr.Elijah Jenkins,Senior Director - Safety Sciences,Almirall,LinkedIn
Dr.Addison Perry,Director of Preclinical Safety,Grifols,PubMed
Dr.Julian Powell,VP Toxicology and DMPK,Faes Farma,LinkedIn
Dr.Audrey Long,Principal Toxicologist,Esteve,Conference-AACR
Dr.Landon Patterson,Director of Safety Assessment,Vifor Pharma,LinkedIn
Dr.Scarlett Hughes,Head of ADME/Tox,Norgine,PubMed
Dr.Wyatt Flores,Senior Scientist - Liver Models,Chiesi,LinkedIn
Dr.Paisley Washington,Director of Safety Pharmacology,Menarini,Conference-SOT
Dr.Easton Butler,VP Drug Safety,Zambon,LinkedIn
Dr.Arianna Simmons,Principal Investigator - Hepatotoxicity,Angelini Pharma,PubMed
Dr.Colton Foster,Director of Preclinical Research,Alfasigma,LinkedIn
Dr.Peyton Gonzales,Head of In Vitro Models,Biofrontera,Conference-ISSX
Dr.Sawyer Bryant,Senior Director - Safety Assessment,Ferring Pharmaceuticals,LinkedIn
Dr.Quinn Alexander,Director of Investigative Toxicology,LEO Pharma,PubMed
Dr.Piper Russell,VP Safety Sciences,Lundbeck,LinkedIn
Dr.River Griffin,Principal Scientist - 3D Cell Culture,Novo Nordisk,Conference-SOT
Dr.Dakota Diaz,Director of Drug Safety Evaluation,Zealand Pharma,LinkedIn
Dr.Skylar Hayes,Head of Preclinical Safety,Genmab,PubMed
Dr.Phoenix Myers,Senior Toxicologist,Orphazyme,LinkedIn
Dr.Sage Ford,Director of Safety Pharmacology,Bavarian Nordic,Conference-AACR
Dr.Rowan Hamilton,VP ADME/Tox,Swedish Orphan Biovitrum,LinkedIn
Dr.Finley Graham,Principal Toxicologist,Sobi,PubMed
Dr.Marley Sullivan,Director of Preclinical Development,Camurus,LinkedIn
Dr.Reese Wallace,Head of In Vitro Toxicology,Ascendis Pharma,Conference-SOT
Dr.Emerson Woods,Senior Director - Drug Safety,Zealand Pharma,LinkedIn
Dr.Blake Kennedy,Director of Safety Assessment,Galderma,PubMed
Dr.Morgan Lane,VP Toxicology,Idorsia,LinkedIn
Dr.Parker Marshall,Principal Scientist - Hepatic Models,Basilea Pharmaceutica,Conference-ISSX
Dr.Charlie Owens,Director of Investigative Toxicology,Polyphor,LinkedIn
